Vardas         Pavarde        Galutinis(Vid.)     
Vardas1        Pavarde1       8.80                
Vardas100      Pavarde100     6.40                
Vardas101      Pavarde101     6.24                
Vardas102      Pavarde102     7.64                
Vardas104      Pavarde104     5.04                
Vardas106      Pavarde106     5.28                
Vardas107      Pavarde107     6.60                
Vardas108      Pavarde108     6.44                
Vardas111      Pavarde111     8.00                
Vardas113      Pavarde113     7.00                
Vardas114      Pavarde114     6.48                
Vardas116      Pavarde116     5.80                
Vardas12       Pavarde12      7.16                
Vardas121      Pavarde121     5.24                
Vardas122      Pavarde122     5.60                
Vardas123      Pavarde123     5.04                
Vardas124      Pavarde124     8.00                
Vardas125      Pavarde125     5.52                
Vardas126      Pavarde126     6.20                
Vardas127      Pavarde127     5.44                
Vardas129      Pavarde129     5.08                
Vardas13       Pavarde13      6.56                
Vardas130      Pavarde130     6.36                
Vardas131      Pavarde131     6.64                
Vardas133      Pavarde133     6.44                
Vardas134      Pavarde134     7.24                
Vardas135      Pavarde135     6.52                
Vardas137      Pavarde137     6.80                
Vardas138      Pavarde138     6.60                
Vardas14       Pavarde14      5.12                
Vardas140      Pavarde140     5.68                
Vardas141      Pavarde141     7.72                
Vardas142      Pavarde142     5.80                
Vardas144      Pavarde144     8.96                
Vardas145      Pavarde145     7.08                
Vardas146      Pavarde146     5.32                
Vardas148      Pavarde148     6.56                
Vardas149      Pavarde149     7.80                
Vardas15       Pavarde15      5.40                
Vardas150      Pavarde150     8.40                
Vardas152      Pavarde152     6.96                
Vardas154      Pavarde154     5.92                
Vardas155      Pavarde155     5.04                
Vardas156      Pavarde156     6.00                
Vardas158      Pavarde158     7.36                
Vardas161      Pavarde161     8.08                
Vardas164      Pavarde164     6.52                
Vardas169      Pavarde169     6.68                
Vardas170      Pavarde170     7.60                
Vardas172      Pavarde172     5.24                
Vardas173      Pavarde173     7.32                
Vardas174      Pavarde174     6.72                
Vardas176      Pavarde176     5.60                
Vardas18       Pavarde18      5.12                
Vardas182      Pavarde182     7.92                
Vardas183      Pavarde183     6.00                
Vardas185      Pavarde185     6.44                
Vardas186      Pavarde186     5.60                
Vardas188      Pavarde188     6.04                
Vardas189      Pavarde189     7.64                
Vardas19       Pavarde19      6.40                
Vardas191      Pavarde191     6.80                
Vardas192      Pavarde192     5.76                
Vardas193      Pavarde193     6.56                
Vardas199      Pavarde199     7.04                
Vardas2        Pavarde2       5.44                
Vardas201      Pavarde201     5.88                
Vardas202      Pavarde202     6.96                
Vardas204      Pavarde204     6.36                
Vardas206      Pavarde206     5.52                
Vardas208      Pavarde208     7.44                
Vardas209      Pavarde209     8.04                
Vardas211      Pavarde211     5.84                
Vardas212      Pavarde212     6.68                
Vardas213      Pavarde213     7.44                
Vardas214      Pavarde214     5.96                
Vardas215      Pavarde215     6.44                
Vardas216      Pavarde216     5.12                
Vardas217      Pavarde217     6.72                
Vardas218      Pavarde218     6.00                
Vardas22       Pavarde22      8.40                
Vardas220      Pavarde220     7.28                
Vardas221      Pavarde221     6.56                
Vardas223      Pavarde223     6.84                
Vardas224      Pavarde224     6.76                
Vardas228      Pavarde228     8.12                
Vardas229      Pavarde229     6.76                
Vardas23       Pavarde23      5.52                
Vardas230      Pavarde230     5.24                
Vardas232      Pavarde232     8.88                
Vardas233      Pavarde233     5.92                
Vardas234      Pavarde234     6.00                
Vardas235      Pavarde235     5.04                
Vardas236      Pavarde236     7.32                
