Vardas                   Pavarde                         ND1       ND2       ND3       ND4       ND5      Egz.
Vardas1                  Pavarde1                          4        10         6         7         8        10
Vardas2                  Pavarde2                          6         9        10         5         8         4
Vardas3                  Pavarde3                          9         6        10         3         4         1
Vardas4                  Pavarde4                          3         9         7         1        10         4
Vardas5                  Pavarde5                          4         6         2         2         2         4
Vardas6                  Pavarde6                          2         4         1        10         3         8
Vardas7                  Pavarde7                          2         3         4         6         3         2
Vardas8                  Pavarde8                          6         5         7         5         4         8
Vardas9                  Pavarde9                          8         5        10        10        10         1
Vardas10                 Pavarde10                         7         6         5         3        10         4
Vardas11                 Pavarde11                         7         6         7         5         1         1
Vardas12                 Pavarde12                         2         8         2         6         4         9
Vardas13                 Pavarde13                        10        10         2         6         9         6
Vardas14                 Pavarde14                         3         4         8         2         2         6
Vardas15                 Pavarde15                        10         3        10         4         3         5
Vardas16                 Pavarde16                         9         3         4         9         8         1
Vardas17                 Pavarde17                         1         6         1         1         7         4
Vardas18                 Pavarde18                         7         6         3        10         8         4
Vardas19                 Pavarde19                         9         5         9         5         7         6
Vardas20                 Pavarde20                         1         6         5         9         8         2
Vardas21                 Pavarde21                         9         6         6         1         4         4
Vardas22                 Pavarde22                         9         4         9         6         2        10
Vardas23                 Pavarde23                         2         6         5         6         5         6
Vardas24                 Pavarde24                         1         8         5         7         5         8
Vardas25                 Pavarde25                         1         1         3         2         3         7
Vardas26                 Pavarde26                         2         5         9         7         4         5
Vardas27                 Pavarde27                         9         4         6         1        10        10
Vardas28                 Pavarde28                         2         4         2         8         3         7
Vardas29                 Pavarde29                         2         4         7         4         2         5
Vardas30                 Pavarde30                        10         7         1         8        10         7
Vardas31                 Pavarde31                         3         7        10        10         9         8
Vardas32                 Pavarde32                         8         5         4         2         8         9
Vardas33                 Pavarde33                         8         7         9         6        10         1
Vardas34                 Pavarde34                         4        10         8         5        10         4
Vardas35                 Pavarde35                         1         8         9         8         7         5
Vardas36                 Pavarde36                         3        10         7         6         6         1
Vardas37                 Pavarde37                         7         7         8         7         8        10
Vardas38                 Pavarde38                         4         8         1         2         8        10
Vardas39                 Pavarde39                         6         3         6         4         9         6
Vardas40                 Pavarde40                         5         9         3         4         1         9
Vardas41                 Pavarde41                         5         8         2         4         3         2
Vardas42                 Pavarde42                        10        10         8         4         3         8
Vardas43                 Pavarde43                         4         1         2         9         5         7
Vardas44                 Pavarde44                         7         7         4         2        10        10
Vardas45                 Pavarde45                         5         6         4        10         8         3
Vardas46                 Pavarde46                         3         1         3        10         3        10
Vardas47                 Pavarde47                         3         2         6         7         7         5
Vardas48                 Pavarde48                         2         1         5         5         8         3
Vardas49                 Pavarde49                         6         1         7         8         3         6
Vardas50                 Pavarde50                         6         3         8         2         8         7
Vardas51                 Pavarde51                         9         4         8         2         9         7
Vardas52                 Pavarde52                         4         6         2         8         1         7
Vardas53                 Pavarde53                        10         9         1         2         4         5
Vardas54                 Pavarde54                         3        10        10        10         3        10
Vardas55                 Pavarde55                        10         7         2         8         2        10
Vardas56                 Pavarde56                         3         3         5         8         6         8
Vardas57                 Pavarde57                         7         8        10         4         1         7
Vardas58                 Pavarde58                         3         2         6         4         6         2
Vardas59                 Pavarde59                         8         7         1         4         3         8
Vardas60                 Pavarde60                         6        10        10         6         7         8
Vardas61                 Pavarde61                         8         6         8         5         6         8
Vardas62                 Pavarde62                         7         8         8         2        10         2
Vardas63                 Pavarde63                         3         3         4         8         8         3
Vardas64                 Pavarde64                         2         3         1         1         7         5
Vardas65                 Pavarde65                         1         4         8         7         9         5
Vardas66                 Pavarde66                         2         6         6         7        10         8
Vardas67                 Pavarde67                        10         3        10         3         4         2
Vardas68                 Pavarde68                         7         1         4         5         7        10
Vardas69                 Pavarde69                         3         3         1         9        10         9
Vardas70                 Pavarde70                         4         7         1         3         5        10
Vardas71                 Pavarde71                         3         1         7         4         9         7
Vardas72                 Pavarde72                         4         4         4         2         6         3
Vardas73                 Pavarde73                         3         3         3         7         6         3
Vardas74                 Pavarde74                         1        10         7         5         7         2
Vardas75                 Pavarde75                         3         4         1         6         5         8
Vardas76                 Pavarde76                         9         7         6         7         3        10
Vardas77                 Pavarde77                         6        10         7         2         1         7
Vardas78                 Pavarde78                         3         9         6         9         3         3
Vardas79                 Pavarde79                         1         5         8         3         6         5
Vardas80                 Pavarde80                         3         3         7         1         9         2
Vardas81                 Pavarde81                         1         3         6         6         2         8
Vardas82                 Pavarde82                         6         5         4         5         7        10
Vardas83                 Pavarde83                         8         5         6         2         4         3
Vardas84                 Pavarde84                         5         6         5         8        10         1
Vardas85                 Pavarde85                         8         5         9        10         4         8
