Vardas                   Pavarde                         ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas1                  Pavarde1                          1         4         9         7         5         8         9         6
Vardas2                  Pavarde2                          8         1         9         7         7         8         5         8
Vardas3                  Pavarde3                          6         5         8         7         7         8         5        10
Vardas4                  Pavarde4                          2         5         7         2         8         9         4         8
Vardas5                  Pavarde5                          7        10         2         4         5         9         4         8
Vardas6                  Pavarde6                          9         8        10         2         6        10         2         3
Vardas7                  Pavarde7                          6         4         5         4         2         3         5        10
Vardas8                  Pavarde8                         10         5         8        10        10         7         3        10
Vardas9                  Pavarde9                         10         6         1         9         1        10         8         7
Vardas10                 Pavarde10                         9         1         3         1         7        10         5         4
Vardas11                 Pavarde11                         1         7         7         6         3        10         8        10
Vardas12                 Pavarde12                         6         2         5         4         4         8         4         5
Vardas13                 Pavarde13                         6         5        10         8        10         6         1         8
Vardas14                 Pavarde14                         6         7        10         9         7         8         8         1
Vardas15                 Pavarde15                        10         2         9         5         5         2         1         8
Vardas16                 Pavarde16                         3         3         7         4         3         8         6         1
Vardas17                 Pavarde17                         7         4         1        10         4         6         7         3
Vardas18                 Pavarde18                        10         5         4         1         6         8         1        10
Vardas19                 Pavarde19                         5         8        10        10         8         5         2         1
Vardas20                 Pavarde20                        10         1         9         1         2         5         3         4
Vardas21                 Pavarde21                        10        10         8         7         6         1         4         2
Vardas22                 Pavarde22                         4         5         1         4         4         5         7         6
Vardas23                 Pavarde23                         9         7         4         4         9         9         8         5
Vardas24                 Pavarde24                         1         8         9         6         9         1         9         5
Vardas25                 Pavarde25                         5         1         8         3         8         8         6         7
Vardas26                 Pavarde26                         7         4         4         4         9         7         7         4
Vardas27                 Pavarde27                         1         4        10         5         3         8         3         5
Vardas28                 Pavarde28                         4         9         4         8        10         8         3         7
Vardas29                 Pavarde29                         3         3         4        10         8         1         1         1
Vardas30                 Pavarde30                         4         8         3         3         5         8         1         6
Vardas31                 Pavarde31                         6         5         9         7         2         4         7        10
Vardas32                 Pavarde32                         1        10        10        10         4         3         3         6
Vardas33                 Pavarde33                         7         5         9         1         4         6         8         6
Vardas34                 Pavarde34                         6        10         3         6         3         9         4         9
Vardas35                 Pavarde35                         3         2         3         8         3         6         9         8
Vardas36                 Pavarde36                        10         7         2         8         3         4         7         5
Vardas37                 Pavarde37                         7         8         2         8         1         1         3        10
Vardas38                 Pavarde38                         8         5         2         6         9         5         4         7
Vardas39                 Pavarde39                        10         1         6         5         9         8         8         8
Vardas40                 Pavarde40                         7         9         5         1         9         6         6         9
Vardas41                 Pavarde41                         4         3         7         5         3         4         9         5
Vardas42                 Pavarde42                         7         1         7        10         7         5         3         4
Vardas43                 Pavarde43                         7         4        10         4         4        10         3         8
Vardas44                 Pavarde44                         4         8         3         9         7         5         5         4
Vardas45                 Pavarde45                         6         6        10        10         8         5         3         1
Vardas46                 Pavarde46                         6        10         8         4         6        10         6         3
Vardas47                 Pavarde47                         7         6        10         6         5         1         7         2
Vardas48                 Pavarde48                         1         6         1         1         6         5         6         5
Vardas49                 Pavarde49                         9         4         9         3         7         5         2         4
Vardas50                 Pavarde50                         3        10         4         8         9         7         4         9
Vardas51                 Pavarde51                         5         8         7         2         6         5         7         5
Vardas52                 Pavarde52                         1         4         5        10         9         3         6         7
Vardas53                 Pavarde53                         6         4         2         2         5         2         4         3
Vardas54                 Pavarde54                         3         7         6         5         4         1         9         3
