Vardas         Pavarde        Galutinis(Vid.)     
Vardas623      Pavarde623     4.60                
Vardas625      Pavarde625     4.73                
Vardas626      Pavarde626     4.33                
Vardas627      Pavarde627     3.53                
Vardas622      Pavarde622     2.73                
Vardas629      Pavarde629     1.93                
Vardas63       Pavarde63      4.13                
Vardas621      Pavarde621     2.67                
Vardas631      Pavarde631     3.67                
Vardas616      Pavarde616     2.73                
Vardas633      Pavarde633     2.13                
Vardas614      Pavarde614     3.13                
Vardas613      Pavarde613     3.60                
Vardas636      Pavarde636     4.07                
Vardas637      Pavarde637     4.60                
Vardas610      Pavarde610     2.73                
Vardas61       Pavarde61      4.07                
Vardas64       Pavarde64      2.33                
Vardas609      Pavarde609     4.40                
Vardas641      Pavarde641     3.87                
Vardas605      Pavarde605     3.93                
Vardas604      Pavarde604     3.53                
Vardas602      Pavarde602     4.67                
Vardas601      Pavarde601     3.20                
Vardas646      Pavarde646     3.07                
Vardas647      Pavarde647     3.53                
Vardas648      Pavarde648     2.80                
Vardas600      Pavarde600     4.67                
Vardas60       Pavarde60      2.53                
Vardas6        Pavarde6       4.20                
Vardas599      Pavarde599     3.07                
Vardas592      Pavarde592     1.47                
Vardas59       Pavarde59      4.07                
Vardas589      Pavarde589     4.67                
Vardas588      Pavarde588     3.07                
Vardas587      Pavarde587     4.07                
Vardas657      Pavarde657     2.53                
Vardas658      Pavarde658     3.73                
Vardas659      Pavarde659     3.53                
Vardas585      Pavarde585     4.80                
Vardas584      Pavarde584     4.33                
Vardas661      Pavarde661     4.20                
Vardas581      Pavarde581     4.47                
Vardas663      Pavarde663     3.60                
Vardas578      Pavarde578     4.93                
Vardas665      Pavarde665     2.07                
Vardas576      Pavarde576     4.00                
Vardas573      Pavarde573     3.67                
Vardas572      Pavarde572     4.87                
Vardas669      Pavarde669     2.13                
Vardas570      Pavarde570     3.60                
Vardas57       Pavarde57      4.33                
Vardas671      Pavarde671     3.33                
Vardas672      Pavarde672     4.93                
Vardas567      Pavarde567     1.67                
Vardas674      Pavarde674     2.67                
Vardas566      Pavarde566     3.40                
Vardas676      Pavarde676     4.80                
Vardas562      Pavarde562     3.13                
Vardas546      Pavarde546     3.13                
Vardas679      Pavarde679     4.87                
Vardas541      Pavarde541     4.67                
Vardas680      Pavarde680     4.53                
Vardas681      Pavarde681     1.67                
